tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058602791,0.059080418,0.058432314,0.403483851,0.455053534,0.464685376,0.464665357,0.465830691,0.461847158,0.463766548,0.462676924,0.465199748,0.462238989,0.431824538,0.066919534,0.092386887,0.104036846,0.117312381,0.119208886,0.121376321,0.115957735,0.103765917,0.089406665,0.069357898
0.2,0.058063059,0.05819546,0.05801765,0.426719258,0.447783436,0.477105189,0.477442126,0.480297975,0.478512366,0.478519227,0.478325427,0.480460357,0.467232782,0.44098329,0.067461393,0.091845028,0.104036846,0.117312381,0.119479816,0.121376321,0.115957735,0.104036846,0.088864806,0.069628827
0.3,0.057705161,0.057903098,0.057637276,0.454679418,0.462591008,0.467323528,0.484714532,0.489271336,0.486655997,0.489680538,0.489697272,0.48429311,0.467171135,0.456974963,0.067461393,0.091845028,0.104036846,0.117312381,0.119479816,0.121376321,0.115957735,0.104036846,0.088864806,0.069628827
0.4,0.055645086,0.056790504,0.055252246,0.45071186,0.464809507,0.467498541,0.483997616,0.482243298,0.479387467,0.486774937,0.482031996,0.474407672,0.46950087,0.441199246,0.067461393,0.091845028,0.104036846,0.117312381,0.119479816,0.121376321,0.115957735,0.103494988,0.089406665,0.069628827
0.5,0.051449262,0.052865323,0.050963601,0.44547276,0.450227516,0.473707537,0.477224089,0.484792489,0.482308928,0.484697629,0.484071837,0.476698315,0.476123136,0.426286826,0.068003251,0.091845028,0.102953129,0.118125169,0.119208886,0.121376321,0.115686806,0.102953129,0.089948523,0.069899756
0.6,0.050810185,0.044281742,0.053049219,0.454210581,0.431410494,0.461542784,0.478312196,0.480514849,0.47082216,0.485742774,0.480992669,0.477446383,0.448938604,0.434889004,0.069357898,0.092386887,0.103224059,0.115957735,0.119750745,0.120563533,0.115415876,0.102140341,0.090219453,0.070983473
0.7,0.062977875,0.042812438,0.069893934,0.426438824,0.425123378,0.447339029,0.470194043,0.483010474,0.485314063,0.484342185,0.483365218,0.451249655,0.450640348,0.437147821,0.073421837,0.091845028,0.102411271,0.114874018,0.118667028,0.118937957,0.113248442,0.100243836,0.092657816,0.073692766
0.8,0.078613833,0.054701367,0.086814996,0.428595095,0.439562932,0.483204562,0.480864074,0.476418593,0.483438856,0.471157287,0.464221282,0.470154782,0.47345824,0.43200427,0.077756705,0.093199675,0.100785695,0.113519371,0.117583311,0.116770523,0.110810079,0.09888919,0.092386887,0.078298564
0.9,0.062003127,0.039398028,0.069755907,0.412193076,0.407139814,0.456762382,0.461014122,0.462272951,0.475837097,0.469815702,0.47359442,0.464558757,0.459458264,0.403910153,0.082091574,0.092928746,0.099701978,0.112706584,0.11406123,0.117312381,0.109726361,0.095638038,0.09130317,0.084529938
1,0.048558024,0.046248027,0.049350274,0.406312242,0.392947297,0.42017725,0.44244993,0.458605323,0.461040203,0.451933695,0.463244318,0.445767851,0.436377766,0.405717476,0.083988079,0.094554321,0.09888919,0.111081008,0.111351937,0.115415876,0.110810079,0.095367109,0.091032241,0.08751016
1.1,0.050133513,0.055184939,0.048401046,0.406378481,0.407297021,0.424187913,0.415627109,0.440491742,0.445154229,0.452139098,0.426607749,0.410401046,0.415303477,0.378674555,0.085884584,0.094283392,0.097263614,0.112706584,0.11026822,0.115957735,0.110539149,0.093741533,0.092115958,0.087239231
1.2,0.040322993,0.043059497,0.039384465,0.405151545,0.42146489,0.42693798,0.406681276,0.446935361,0.444234449,0.440950221,0.43209696,0.417669281,0.424307761,0.42489763,0.085884584,0.094012463,0.098076402,0.111622866,0.111081008,0.115144947,0.111081008,0.093470604,0.092386887,0.087239231
1.3,0.044407899,0.024782494,0.051138745,0.402904204,0.418843543,0.425276546,0.428658973,0.437058707,0.437758815,0.455033021,0.423557319,0.426259108,0.429977194,0.421429109,0.086968301,0.093470604,0.098347331,0.112706584,0.108371715,0.115957735,0.110810079,0.094283392,0.09130317,0.087781089
1.4,0.068812201,0.039847997,0.078742551,0.397745233,0.409082937,0.420381283,0.432845975,0.435042957,0.419031162,0.437420988,0.433269971,0.418459629,0.415413399,0.417941188,0.086426443,0.094554321,0.09888919,0.111351937,0.108371715,0.113790301,0.111081008,0.094825251,0.093741533,0.086968301
1.5,0.052542799,0.03057435,0.060071762,0.383451957,0.40367106,0.416421092,0.417084857,0.425887223,0.423039228,0.429722306,0.414177987,0.406540359,0.408828266,0.4004025,0.08751016,0.094825251,0.098618261,0.109184503,0.109184503,0.112977513,0.109997291,0.094283392,0.094825251,0.088593877
1.6,0.043353775,0.046270108,0.042353571,0.379194755,0.406783773,0.399042757,0.412226846,0.425535553,0.426479374,0.426422425,0.415670142,0.399692675,0.406489966,0.377307226,0.08751016,0.096179897,0.098347331,0.110810079,0.10647521,0.111893796,0.109997291,0.094554321,0.093199675,0.091032241
1.7,0.045598214,0.052380557,0.043266068,0.373991759,0.403641446,0.404043278,0.420664018,0.434162664,0.437403864,0.44005334,0.404320931,0.410573416,0.425820061,0.407952262,0.086155513,0.097534543,0.097805473,0.111622866,0.10647521,0.110810079,0.110539149,0.094825251,0.093470604,0.090761311
1.8,0.038441763,0.039556456,0.038059461,0.363966936,0.401442239,0.398363159,0.434079071,0.434301579,0.436500933,0.43864067,0.433272594,0.422598987,0.425812186,0.378722329,0.086155513,0.097805473,0.098076402,0.110539149,0.107017069,0.111351937,0.110539149,0.093741533,0.094825251,0.089948523
1.9,0.049496512,0.027804863,0.05693601,0.359397015,0.390426955,0.418286376,0.431066078,0.411311543,0.432604181,0.424415151,0.424066264,0.422752595,0.424973356,0.372792102,0.085884584,0.097263614,0.099701978,0.110539149,0.106746139,0.11026822,0.110810079,0.093470604,0.09509618,0.090219453
2,0.061734419,0.031784633,0.072006176,0.34938634,0.377798424,0.414084392,0.412478737,0.424685559,0.428529588,0.425374885,0.424599362,0.414984792,0.412229759,0.365989618,0.086426443,0.099160119,0.097805473,0.111351937,0.105933351,0.11026822,0.11026822,0.094283392,0.09509618,0.089406665
2.1,0.0472657,0.030034259,0.053175499,0.343521762,0.37196124,0.401063556,0.38507812,0.420096605,0.395201855,0.415331553,0.413517528,0.409679008,0.407934519,0.36693865,0.085071796,0.099431048,0.101327554,0.108913574,0.106746139,0.11026822,0.108642644,0.093470604,0.097263614,0.088864806
2.2,0.039257205,0.039989571,0.039006029,0.340429784,0.360755721,0.408199679,0.406453023,0.392217546,0.396055986,0.416713806,0.412003241,0.411321165,0.40543985,0.367403837,0.084800867,0.099972907,0.102411271,0.108371715,0.106204281,0.109726361,0.108642644,0.093199675,0.09888919,0.087781089
2.3,0.041338187,0.045944404,0.039758411,0.338255641,0.367607762,0.408347914,0.395709869,0.389501598,0.404771283,0.401195396,0.394508463,0.398821485,0.417569219,0.376400479,0.084529938,0.100243836,0.102140341,0.108913574,0.106204281,0.109726361,0.108100786,0.093741533,0.099431048,0.086968301
2.4,0.036382607,0.031145724,0.038178679,0.332832327,0.348501402,0.413219069,0.40842096,0.407078383,0.407615737,0.416308719,0.41135318,0.401756305,0.417945571,0.375401781,0.083988079,0.099972907,0.102411271,0.109726361,0.10647521,0.109455432,0.108913574,0.092928746,0.100243836,0.085884584
2.5,0.047958267,0.03058957,0.053915139,0.345331818,0.351117334,0.407280802,0.413607824,0.401661241,0.411216751,0.418686421,0.41948144,0.410520709,0.414750526,0.378509136,0.082904362,0.101598483,0.103494988,0.109726361,0.105120564,0.108913574,0.108913574,0.093470604,0.100514766,0.085342726
2.6,0.051712541,0.034946096,0.057462862,0.345991814,0.360845924,0.40854955,0.405623549,0.392362563,0.40422964,0.413758202,0.396985758,0.399501249,0.417628504,0.384562604,0.080736928,0.104036846,0.104307776,0.109997291,0.104578705,0.109997291,0.108371715,0.093199675,0.100785695,0.083988079
