tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058746668,0.058850054,0.058681192,0.437436959,0.450566532,0.463069023,0.465643089,0.465966865,0.464994911,0.465863748,0.46279452,0.463388921,0.462423665,0.430060379,0.070441615,0.089677594,0.104849634,0.116770523,0.120292604,0.120834462,0.114603089,0.103765917,0.090761311,0.067732322
0.2,0.05802032,0.058109565,0.057974633,0.446421989,0.445454656,0.466919585,0.479387981,0.480552893,0.480170451,0.481288746,0.478856511,0.478385019,0.458703142,0.447241296,0.070441615,0.089406665,0.105391493,0.116499594,0.120563533,0.120834462,0.114603089,0.103765917,0.090761311,0.067732322
0.3,0.057632134,0.057806851,0.057542691,0.462289863,0.457145067,0.480495454,0.477557692,0.489650411,0.492083239,0.489859039,0.489428371,0.481732544,0.468422929,0.463206492,0.070441615,0.089406665,0.105120564,0.116770523,0.120563533,0.120834462,0.114603089,0.103765917,0.090761311,0.067732322
0.4,0.055837649,0.056651603,0.055420963,0.455314862,0.458401648,0.457937221,0.484653656,0.486962173,0.484181112,0.484679247,0.481740223,0.475092783,0.471117034,0.466886921,0.070441615,0.089677594,0.104849634,0.116770523,0.120292604,0.121376321,0.114332159,0.102953129,0.091574099,0.067732322
0.5,0.050915064,0.051772204,0.05047627,0.454511681,0.423889971,0.454138472,0.479234332,0.47889093,0.485021849,0.482471528,0.483425451,0.475001502,0.464548261,0.438616952,0.070441615,0.090219453,0.104849634,0.116228664,0.120021674,0.12164725,0.113519371,0.104036846,0.091032241,0.068003251
0.6,0.050477269,0.045670231,0.052938125,0.4583764,0.435153306,0.460925338,0.470735903,0.482355831,0.484349486,0.481126662,0.484792458,0.480333029,0.447728716,0.434573048,0.071796261,0.092115958,0.1026822,0.115686806,0.119750745,0.120292604,0.11406123,0.103224059,0.089406665,0.070983473
0.7,0.057048837,0.041354635,0.065083136,0.453811644,0.433303961,0.447598368,0.480592184,0.483547008,0.484405196,0.481875676,0.484641789,0.472045667,0.441775087,0.439193088,0.076402059,0.092115958,0.101327554,0.112977513,0.119479816,0.119208886,0.112706584,0.101598483,0.088322948,0.0758602
0.8,0.071902612,0.052653083,0.081756982,0.458096307,0.451404864,0.455170861,0.471396498,0.476838634,0.478587829,0.47483076,0.488342068,0.477261844,0.459514054,0.408623448,0.083988079,0.089406665,0.101327554,0.111622866,0.116228664,0.117312381,0.110810079,0.099701978,0.089948523,0.079653211
0.9,0.065594133,0.046910075,0.075159024,0.437857702,0.423316446,0.434736043,0.458452527,0.475306806,0.469763448,0.462993189,0.473054026,0.477291754,0.453640792,0.428414586,0.088052018,0.092928746,0.099431048,0.109184503,0.112164725,0.115144947,0.110810079,0.098076402,0.088052018,0.086155513
1,0.044039626,0.040053494,0.046080239,0.424586962,0.402112384,0.439427884,0.450101056,0.447751482,0.461056078,0.455324245,0.451592986,0.446424532,0.436567688,0.383721181,0.089677594,0.093741533,0.098347331,0.109726361,0.109726361,0.111893796,0.109726361,0.098347331,0.089677594,0.089135736
1.1,0.05177889,0.056587312,0.049317325,0.415266097,0.404318504,0.408502586,0.436633454,0.444858835,0.446037531,0.451142709,0.449695102,0.442973363,0.421607279,0.407518254,0.089948523,0.094012463,0.097805473,0.109997291,0.11026822,0.111081008,0.108913574,0.09888919,0.089135736,0.089948523
1.2,0.042019445,0.047482214,0.039222901,0.417875552,0.38700592,0.42170257,0.431013581,0.447710153,0.43449459,0.433283396,0.434666513,0.440484923,0.416455455,0.429132802,0.090490382,0.094283392,0.097263614,0.109997291,0.109184503,0.111893796,0.108642644,0.099431048,0.089406665,0.089406665
1.3,0.038893905,0.026911403,0.045028082,0.423827981,0.415693479,0.431484061,0.443492669,0.44824406,0.437521343,0.437354466,0.428402549,0.405317878,0.433053537,0.425096167,0.089948523,0.094554321,0.098076402,0.109184503,0.109455432,0.111893796,0.107287998,0.099972907,0.089948523,0.089677594
1.4,0.063184523,0.037775276,0.076192225,0.40943061,0.413654756,0.432112527,0.437223922,0.429076355,0.43331499,0.436786593,0.427137435,0.409073247,0.427070492,0.419896054,0.09130317,0.096721756,0.096992685,0.107558927,0.109184503,0.111893796,0.105933351,0.097534543,0.093199675,0.089677594
1.5,0.054458758,0.034613669,0.064618012,0.402079771,0.408256455,0.420032611,0.420533716,0.424821589,0.418669876,0.423076095,0.42146507,0.408698554,0.4034799,0.416919823,0.091574099,0.097805473,0.097805473,0.105391493,0.110539149,0.109726361,0.105391493,0.097534543,0.092657816,0.091574099
1.6,0.039837416,0.040929375,0.039278411,0.391081776,0.37311557,0.413538308,0.394242065,0.418585922,0.414194299,0.40783548,0.411528804,0.405320431,0.402550133,0.407531487,0.091845028,0.099160119,0.099431048,0.104578705,0.108913574,0.107829856,0.105391493,0.098076402,0.094012463,0.090761311
1.7,0.044971394,0.051347906,0.041707079,0.391917626,0.402253131,0.419625118,0.398366751,0.417726822,0.417280229,0.414102794,0.412522721,0.412195596,0.413158283,0.412638199,0.091574099,0.100243836,0.098618261,0.105120564,0.108100786,0.107287998,0.106204281,0.097534543,0.094554321,0.090761311
1.8,0.036710377,0.039285787,0.035391953,0.391395907,0.402053606,0.417367792,0.404963607,0.407088443,0.423780477,0.416289673,0.420252844,0.41534213,0.424373031,0.408458286,0.091574099,0.100514766,0.098618261,0.104849634,0.108371715,0.107017069,0.105933351,0.097805473,0.094825251,0.090490382
1.9,0.039975588,0.025587188,0.047341411,0.385451138,0.367896103,0.413329655,0.403958381,0.424714326,0.427210205,0.418295681,0.417035625,0.412363113,0.423502016,0.409951038,0.091574099,0.100514766,0.099431048,0.104578705,0.107017069,0.106746139,0.105933351,0.098347331,0.09509618,0.090761311
2,0.054456155,0.030283407,0.066830858,0.374158623,0.386776864,0.417354717,0.423681886,0.42244686,0.420355915,0.407803448,0.411042372,0.373399718,0.40779392,0.396704896,0.090490382,0.101869412,0.100243836,0.103765917,0.107287998,0.105662422,0.107017069,0.096179897,0.096992685,0.090490382
2.1,0.044062778,0.029071149,0.051737411,0.36224162,0.381906197,0.416892056,0.413494352,0.384572474,0.411398576,0.399328516,0.403818268,0.384697106,0.396259164,0.392632331,0.090761311,0.100243836,0.100243836,0.104578705,0.10647521,0.105391493,0.108100786,0.096450826,0.097263614,0.090490382
2.2,0.036079901,0.034487285,0.036895205,0.355919452,0.383177186,0.411798924,0.407680025,0.402070613,0.39925567,0.392109113,0.395026329,0.382879649,0.393266178,0.39676347,0.089406665,0.101598483,0.100514766,0.104578705,0.10647521,0.104849634,0.108100786,0.095908968,0.097805473,0.090761311
2.3,0.040937373,0.045561113,0.038570352,0.355949223,0.379980967,0.410398251,0.404328032,0.400270804,0.399289166,0.385754524,0.395749685,0.395848235,0.403011437,0.397296973,0.089406665,0.102411271,0.099972907,0.103224059,0.107829856,0.105120564,0.107287998,0.096721756,0.097805473,0.090219453
2.4,0.036866887,0.037927468,0.036323946,0.35728566,0.386749444,0.414894247,0.400868525,0.397962657,0.411393346,0.386339361,0.38463284,0.399756637,0.409519674,0.37990135,0.088864806,0.102411271,0.100785695,0.103224059,0.108371715,0.104307776,0.107558927,0.096721756,0.099160119,0.088593877
2.5,0.041869643,0.027093122,0.049434155,0.353211074,0.387960091,0.40616175,0.407861858,0.388198483,0.41772947,0.400706328,0.397207931,0.403937997,0.413174622,0.391209915,0.088052018,0.102953129,0.102411271,0.1026822,0.108100786,0.103224059,0.108100786,0.096992685,0.100243836,0.087239231
2.6,0.05181318,0.034015251,0.060924436,0.348578161,0.39340029,0.404058104,0.387392647,0.392786025,0.40665397,0.382556802,0.390464511,0.398837885,0.405605447,0.4090389,0.086155513,0.103494988,0.102140341,0.102953129,0.107558927,0.105933351,0.107287998,0.097805473,0.099160119,0.08751016
2.7,0.037461736,0.027083884,0.042774448,0.343083247,0.380751245,0.404653446,0.394972269,0.383652263,0.411300425,0.368385193,0.390330661,0.377380331,0.40395681,0.366460566,0.084800867,0.1026822,0.105120564,0.103765917,0.107287998,0.105662422,0.105933351,0.098347331,0.100514766,0.085884584
2.8,0.035816694,0.038015747,0.034690937,0.338439403,0.374677477,0.383751821,0.379547879,0.38754901,0.390208324,0.367917588,0.387316344,0.400312453,0.401568743,0.397935216,0.084529938,0.103224059,0.105391493,0.105120564,0.105933351,0.105933351,0.105933351,0.097805473,0.102140341,0.083988079
2.9,0.040882603,0.044942373,0.038804294,0.333038357,0.364830417,0.395068842,0.395534889,0.396929264,0.403389744,0.370253639,0.399892141,0.40163982,0.401811018,0.378701463,0.084259008,0.103224059,0.105391493,0.105933351,0.105662422,0.105662422,0.105662422,0.098076402,0.102140341,0.083988079
3,0.035549996,0.035643405,0.035502177,0.33129726,0.353228454,0.381888372,0.400419002,0.396204397,0.404215504,0.370705232,0.389992638,0.397952021,0.398596359,0.387554144,0.082904362,0.103765917,0.105933351,0.105662422,0.105391493,0.105933351,0.106204281,0.098076402,0.1026822,0.083446221
3.1,0.042538814,0.032823893,0.047512154,0.325053187,0.355778009,0.39881522,0.398976925,0.390850476,0.400155774,0.377880524,0.38385473,0.395715615,0.400320637,0.381698378,0.081549716,0.104849634,0.105933351,0.105120564,0.107017069,0.106204281,0.104578705,0.099701978,0.103224059,0.081820645
