tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058808618,0.059337823,0.058773495,0.238785723,0.454473881,0.459110716,0.459611301,0.454033746,0.461046981,0.457810572,0.460083617,0.459669807,0.459737376,0.448184394,0.070170685,0.091032241,0.10647521,0.117312381,0.117583311,0.122189109,0.116499594,0.104849634,0.091574099,0.062042807
0.2,0.058075441,0.058091243,0.05807443,0.315514472,0.464237871,0.473823992,0.475255774,0.470758089,0.469935876,0.452734393,0.475774802,0.476051449,0.474685963,0.429164425,0.070712544,0.090761311,0.106204281,0.11785424,0.117583311,0.12164725,0.116499594,0.105120564,0.091574099,0.062042807
0.3,0.057473155,0.057843892,0.05744943,0.257383327,0.473183751,0.48935495,0.489514163,0.484706603,0.487825195,0.470182518,0.492126008,0.491333098,0.489037586,0.448411307,0.070712544,0.090761311,0.106204281,0.117312381,0.118396099,0.121376321,0.116499594,0.105120564,0.091032241,0.062584665
0.4,0.054342722,0.0564982,0.054204786,0.231176894,0.456912633,0.488871816,0.49009996,0.493550475,0.493793497,0.474557542,0.491566245,0.491465296,0.473274707,0.418095317,0.070712544,0.091032241,0.105933351,0.117312381,0.118396099,0.121376321,0.116499594,0.104849634,0.090490382,0.063397453
0.5,0.049923912,0.052159602,0.049780843,0.191370661,0.389980673,0.475818051,0.47568323,0.481710079,0.487633626,0.478855793,0.485253119,0.477076683,0.472301697,0.371069734,0.070983473,0.091032241,0.105662422,0.116228664,0.119208886,0.12164725,0.116499594,0.104036846,0.090761311,0.063939312
0.6,0.057055805,0.046994159,0.057699682,0.309914324,0.435314872,0.466907162,0.474683926,0.465089969,0.480169178,0.463896091,0.477666123,0.47661417,0.471351,0.425411208,0.07233812,0.090761311,0.105391493,0.115415876,0.119750745,0.12164725,0.114874018,0.104307776,0.089948523,0.065564888
0.7,0.070840124,0.044368245,0.072534145,0.253682943,0.41113653,0.442442653,0.470132037,0.475464916,0.478121284,0.465442771,0.474106195,0.46971571,0.432856403,0.392631644,0.0758602,0.09130317,0.104036846,0.114603089,0.118667028,0.120563533,0.112435654,0.103765917,0.090490382,0.06827418
0.8,0.085580649,0.049911708,0.087863218,0.216399299,0.383623539,0.424356081,0.433283431,0.439973726,0.445940453,0.439828519,0.443835103,0.440643803,0.42216241,0.358203675,0.081820645,0.091574099,0.100785695,0.113248442,0.117312381,0.118396099,0.112706584,0.100785695,0.090219453,0.073150908
0.9,0.080496061,0.044685108,0.082787719,0.24911413,0.373913709,0.385513455,0.411620792,0.419347531,0.415320136,0.434618163,0.415190748,0.402254059,0.404350088,0.335936527,0.083175291,0.091574099,0.101869412,0.111351937,0.115686806,0.118667028,0.112164725,0.098347331,0.092386887,0.074776483
1,0.071051222,0.05498281,0.072079491,0.26430982,0.385118742,0.403214037,0.408419515,0.407944866,0.414800656,0.418792716,0.407104871,0.396314325,0.394565698,0.362229894,0.083988079,0.091574099,0.101869412,0.110539149,0.116499594,0.117312381,0.112706584,0.097534543,0.091574099,0.076402059
