tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058316198,0.058315221,0.05829774,0.429936582,0.461608368,0.463952323,0.463921599,0.463777799,0.46421131,0.466172217,0.464020417,0.465905584,0.46625041,0.454513731,0.087781089,0.101056624,0.101869412,0.105391493,0.105120564,0.105662422,0.105933351,0.101869412,0.102411271,0.082633433
0.2,0.057854665,0.057976506,0.057732823,0.447510342,0.442201129,0.475599492,0.477544498,0.477122838,0.477335587,0.478155651,0.475770411,0.477534551,0.471065077,0.450247009,0.087781089,0.101056624,0.101869412,0.105391493,0.105120564,0.105933351,0.105933351,0.101869412,0.102411271,0.082633433
0.3,0.057567264,0.057724723,0.057409805,0.468874564,0.460348523,0.481515936,0.483047675,0.48337495,0.483414272,0.485622215,0.485105899,0.485515087,0.484182309,0.468239692,0.088052018,0.100785695,0.101869412,0.105391493,0.105120564,0.105933351,0.105933351,0.101869412,0.102411271,0.082633433
0.4,0.056446511,0.056840558,0.056052465,0.458195991,0.471594784,0.471347925,0.472617871,0.473527378,0.474584231,0.484811043,0.4834727,0.481835595,0.483012563,0.464132007,0.088593877,0.100243836,0.101869412,0.105391493,0.105120564,0.105933351,0.105933351,0.101869412,0.102411271,0.082633433
0.5,0.053839798,0.054644805,0.053034791,0.459059234,0.463802467,0.47665525,0.476960156,0.476932327,0.481203383,0.486757239,0.485137302,0.479541644,0.470360907,0.458756944,0.089135736,0.099701978,0.101869412,0.105391493,0.105120564,0.105662422,0.106204281,0.101869412,0.101869412,0.083175291
0.6,0.050207997,0.050191743,0.050224251,0.460785425,0.443616712,0.469107702,0.474347941,0.475052793,0.482912027,0.486095429,0.480801069,0.478699474,0.465299659,0.44643486,0.090219453,0.099701978,0.100785695,0.105391493,0.105120564,0.105662422,0.106204281,0.101869412,0.101327554,0.08371715
0.7,0.051020648,0.044016565,0.05802473,0.466115054,0.446695593,0.456863054,0.45844962,0.461509786,0.463799835,0.481268324,0.462101268,0.466272099,0.46457165,0.450491332,0.092115958,0.099972907,0.099431048,0.105933351,0.104036846,0.105120564,0.106204281,0.101056624,0.100243836,0.085884584
0.8,0.067514384,0.049842357,0.085186412,0.459346142,0.453830939,0.473754535,0.475674737,0.457722623,0.479482329,0.484227517,0.455806151,0.478619292,0.476588219,0.448496442,0.098076402,0.096992685,0.098347331,0.104849634,0.103765917,0.105391493,0.102953129,0.101327554,0.096450826,0.091845028
0.9,0.088549134,0.06449487,0.112603399,0.435733315,0.440193563,0.475193932,0.45544564,0.451286207,0.46113246,0.454088206,0.465285361,0.461317239,0.47771629,0.427368474,0.101327554,0.098347331,0.098618261,0.102953129,0.101327554,0.103494988,0.100514766,0.101869412,0.098618261,0.092928746
1,0.057384896,0.039735788,0.075034003,0.4163093,0.42108123,0.439095974,0.441286681,0.427286757,0.44521865,0.449899959,0.442255851,0.432850869,0.433116238,0.401719247,0.103224059,0.099431048,0.098347331,0.101327554,0.100243836,0.104849634,0.097263614,0.099701978,0.101056624,0.094554321
1.1,0.054534981,0.05564949,0.053420472,0.41114238,0.425298967,0.432050689,0.417042313,0.423945015,0.434665511,0.431235283,0.437937521,0.408504386,0.406262146,0.403294652,0.102953129,0.100514766,0.097263614,0.099972907,0.102140341,0.1026822,0.097263614,0.101056624,0.09888919,0.097263614
1.2,0.049861338,0.051844654,0.047878022,0.416144093,0.434195284,0.434238208,0.431885982,0.430406344,0.429690334,0.424047806,0.414289973,0.431697554,0.427201712,0.425649471,0.103224059,0.100514766,0.097534543,0.100514766,0.101327554,0.103224059,0.096721756,0.100243836,0.099160119,0.097534543
1.3,0.033443703,0.027550959,0.039336448,0.418938677,0.435299802,0.44194334,0.43298704,0.430822451,0.439156453,0.446979286,0.42558424,0.443598797,0.441192345,0.430537413,0.103765917,0.100514766,0.096450826,0.102140341,0.100785695,0.1026822,0.097263614,0.099160119,0.098347331,0.09888919
1.4,0.046664991,0.029758342,0.063571641,0.408965291,0.427183908,0.440386515,0.425632111,0.424202545,0.440841935,0.422067531,0.432158905,0.4388622,0.450374746,0.422519805,0.103494988,0.101869412,0.096992685,0.101056624,0.100243836,0.101598483,0.097534543,0.09888919,0.098618261,0.099701978
1.5,0.053336257,0.037065002,0.069607512,0.394446324,0.426644736,0.432837845,0.411873192,0.416753167,0.43141002,0.414383599,0.403681174,0.425601889,0.435767969,0.424900502,0.104849634,0.100785695,0.098347331,0.098618261,0.100243836,0.101869412,0.095908968,0.098618261,0.100243836,0.100514766
1.6,0.037439366,0.027562255,0.047316477,0.387296761,0.424808635,0.425913801,0.409635097,0.416796014,0.416471818,0.414429514,0.401045355,0.411118641,0.391957318,0.409915016,0.104307776,0.102140341,0.097805473,0.100243836,0.098347331,0.102953129,0.094554321,0.099431048,0.099431048,0.100785695
1.7,0.04001013,0.042259478,0.037760781,0.380946911,0.417784259,0.430384311,0.416549233,0.403848301,0.413125402,0.405570145,0.397614902,0.412342506,0.417661399,0.411863133,0.103765917,0.1026822,0.098618261,0.098618261,0.100243836,0.101598483,0.094554321,0.098618261,0.100514766,0.100785695
1.8,0.039669989,0.042333066,0.037006912,0.378529382,0.415950074,0.431822128,0.414733532,0.401912403,0.417191674,0.415895723,0.405725366,0.388261349,0.420534339,0.404502294,0.104307776,0.102411271,0.099431048,0.098618261,0.099160119,0.101327554,0.094825251,0.097805473,0.101327554,0.100785695
1.9,0.026570305,0.021607324,0.031533286,0.379281408,0.417304595,0.407278982,0.423473521,0.410785426,0.41542812,0.425279171,0.405170867,0.411826574,0.420724361,0.407470443,0.104578705,0.103224059,0.099160119,0.099431048,0.098618261,0.100785695,0.093741533,0.097805473,0.101598483,0.101056624
2,0.047417763,0.036365379,0.058470146,0.361440489,0.404758067,0.424344818,0.400772701,0.397922261,0.400093325,0.400856509,0.397331889,0.399393911,0.418710998,0.410525431,0.104849634,0.102953129,0.099431048,0.100243836,0.097263614,0.100785695,0.094825251,0.098347331,0.101056624,0.100243836
2.1,0.042089196,0.032384438,0.051793955,0.34530168,0.399515633,0.409277385,0.38711518,0.381193277,0.393309322,0.377118681,0.388934095,0.390584057,0.41165474,0.396594132,0.104578705,0.103494988,0.099972907,0.099431048,0.098618261,0.101598483,0.093741533,0.097805473,0.100785695,0.099972907
2.2,0.029325319,0.025024579,0.033626059,0.333894091,0.395644237,0.403002316,0.38166858,0.378459425,0.380543365,0.376635559,0.374722949,0.392201176,0.395441321,0.372060853,0.105933351,0.104307776,0.097805473,0.099972907,0.098076402,0.101869412,0.093199675,0.099160119,0.100785695,0.09888919
2.3,0.041145086,0.044347229,0.037942943,0.333303017,0.386876695,0.416171298,0.383201989,0.373925526,0.38092188,0.37668071,0.376430419,0.381808307,0.393979607,0.396147303,0.104849634,0.104307776,0.098618261,0.100514766,0.097805473,0.101056624,0.093741533,0.098347331,0.101869412,0.09888919
2.4,0.027834007,0.030359208,0.025308805,0.336838858,0.395326875,0.407835416,0.371268849,0.386687245,0.37180382,0.375315621,0.364473968,0.408994403,0.410262778,0.397265019,0.104578705,0.104307776,0.098618261,0.100243836,0.098618261,0.100514766,0.094012463,0.098076402,0.102140341,0.09888919
2.5,0.03349032,0.028205783,0.038774856,0.331637657,0.401077172,0.424648818,0.385141736,0.39116146,0.382301045,0.36783836,0.362446059,0.407130943,0.410109877,0.392155765,0.104578705,0.104578705,0.098618261,0.101056624,0.098618261,0.099701978,0.094283392,0.097534543,0.1026822,0.098347331
2.6,0.045109392,0.037641355,0.05257743,0.318407549,0.400963935,0.409066736,0.391054216,0.384949397,0.373115704,0.370615715,0.370080463,0.396571697,0.394530962,0.370364612,0.104307776,0.104307776,0.09888919,0.100785695,0.09888919,0.100243836,0.093470604,0.098076402,0.103224059,0.097805473
2.7,0.028229361,0.024061878,0.032396843,0.311664105,0.398394669,0.411775356,0.375939488,0.385189903,0.367990702,0.373830223,0.369583121,0.381653441,0.395149044,0.364130467,0.101869412,0.104849634,0.099431048,0.100785695,0.098347331,0.101327554,0.093741533,0.096721756,0.105120564,0.097805473
