tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058206875,0.058393641,0.058000686,0.437503957,0.446656424,0.463861748,0.464065948,0.464007195,0.464575782,0.463965849,0.46407464,0.464409479,0.464606437,0.447131927,0.085342726,0.100514766,0.102411271,0.10647521,0.103224059,0.106204281,0.104307776,0.104578705,0.101056624,0.085613655
0.2,0.057818572,0.057929564,0.057707579,0.445442981,0.464344223,0.478482454,0.47699389,0.477010929,0.475917011,0.477008522,0.475891121,0.477397431,0.470359585,0.445549758,0.085342726,0.100514766,0.102411271,0.10647521,0.103494988,0.106204281,0.104307776,0.104578705,0.101056624,0.085613655
0.3,0.057561847,0.057749393,0.057374301,0.465000668,0.464535708,0.482601233,0.483609754,0.482583162,0.481216703,0.48388243,0.482182421,0.487157877,0.485572846,0.457039349,0.085884584,0.099972907,0.102411271,0.10647521,0.103494988,0.105933351,0.104578705,0.104578705,0.101056624,0.085613655
0.4,0.056782476,0.057213319,0.056351633,0.45470801,0.453097638,0.480750942,0.471940782,0.481699662,0.471963158,0.484422392,0.481340993,0.47475309,0.486276217,0.442916756,0.085884584,0.099972907,0.102411271,0.10647521,0.103494988,0.105933351,0.104849634,0.104307776,0.101056624,0.085613655
0.5,0.053421481,0.054343746,0.052499216,0.458602746,0.463539015,0.46909513,0.475988971,0.477600401,0.483966407,0.483438599,0.477198904,0.480289781,0.476111895,0.436842016,0.086426443,0.099160119,0.102953129,0.106204281,0.103494988,0.105933351,0.104307776,0.104578705,0.100785695,0.086155513
0.6,0.046921111,0.046462442,0.047379779,0.464148939,0.456063548,0.457193124,0.47243004,0.474946713,0.474035595,0.486271315,0.474780964,0.476207587,0.480195354,0.443713055,0.088052018,0.098347331,0.1026822,0.106204281,0.1026822,0.105933351,0.104578705,0.104578705,0.099160119,0.087781089
0.7,0.047706971,0.038502141,0.056911801,0.457932447,0.45074335,0.458541999,0.455461994,0.45575506,0.474238763,0.478466562,0.463509592,0.466152716,0.461817066,0.443830896,0.090219453,0.098347331,0.101327554,0.104849634,0.104036846,0.105120564,0.104307776,0.104036846,0.098618261,0.089135736
0.8,0.075986313,0.062116873,0.089855753,0.462998002,0.447146014,0.481754018,0.48548232,0.488378385,0.480625521,0.473568053,0.484325428,0.482459217,0.484370916,0.465401469,0.095908968,0.095367109,0.100514766,0.105120564,0.100243836,0.104307776,0.104849634,0.103494988,0.097805473,0.092386887
0.9,0.080984054,0.063091823,0.098876285,0.451980342,0.451840712,0.472226545,0.45564824,0.471167356,0.475131311,0.480432427,0.494745166,0.481689747,0.472937973,0.444646877,0.103224059,0.097534543,0.094825251,0.103494988,0.097805473,0.100514766,0.102953129,0.102140341,0.101327554,0.096179897
1,0.044811563,0.037476249,0.052146877,0.434707085,0.428158566,0.45248719,0.436353193,0.444859981,0.451210259,0.462422546,0.470711846,0.471797154,0.464580957,0.425592519,0.106204281,0.098076402,0.09509618,0.099701978,0.097263614,0.100243836,0.099972907,0.103494988,0.100243836,0.099701978
1.1,0.053025612,0.056623573,0.049427651,0.425681495,0.44381838,0.441075141,0.41983271,0.431092698,0.442273473,0.448729648,0.452312926,0.432796239,0.451673844,0.389961247,0.107287998,0.098076402,0.093199675,0.101598483,0.096450826,0.100243836,0.099972907,0.102140341,0.099701978,0.101327554
1.2,0.049823029,0.053716867,0.045929192,0.418187999,0.443178989,0.429214817,0.418942926,0.419984361,0.424543414,0.427651122,0.425041618,0.427680711,0.419776746,0.410958739,0.107287998,0.098076402,0.093199675,0.101598483,0.096450826,0.100243836,0.099972907,0.101869412,0.100243836,0.101056624
1.3,0.035645236,0.03426768,0.037022792,0.419146108,0.437154613,0.428880676,0.423775199,0.419570008,0.428261863,0.429694079,0.441727398,0.433985663,0.450356907,0.431869909,0.107558927,0.097534543,0.094012463,0.100514766,0.097263614,0.099701978,0.099701978,0.101869412,0.100514766,0.101327554
1.4,0.056287699,0.041252804,0.071322595,0.413155732,0.438090702,0.423813675,0.41168885,0.38896882,0.412904098,0.398939802,0.417311471,0.430591767,0.434885346,0.433779748,0.109997291,0.097534543,0.094825251,0.099431048,0.096450826,0.099160119,0.099701978,0.101327554,0.100514766,0.101056624
1.5,0.066539366,0.048507188,0.084571543,0.407694857,0.410710864,0.426809202,0.41013701,0.39587159,0.414396204,0.4187792,0.416962389,0.416235451,0.412041406,0.42361933,0.111622866,0.099972907,0.094554321,0.09888919,0.094283392,0.09888919,0.099160119,0.099701978,0.101869412,0.101056624
1.6,0.034071057,0.028735155,0.039406959,0.401623438,0.427196799,0.416268082,0.377959875,0.411622011,0.415641405,0.419519543,0.426523373,0.411312186,0.409334307,0.405122236,0.111893796,0.099972907,0.094012463,0.098618261,0.094554321,0.097534543,0.099972907,0.098076402,0.102953129,0.102411271
1.7,0.050170046,0.054283984,0.046056109,0.394731603,0.423798007,0.413390883,0.369898711,0.403653178,0.40652147,0.387551906,0.409148307,0.406366539,0.389444667,0.422501628,0.111622866,0.100514766,0.094554321,0.098076402,0.094283392,0.098076402,0.098618261,0.097805473,0.103494988,0.102953129
1.8,0.043402269,0.048085944,0.038718594,0.383963316,0.415164288,0.413930442,0.372479514,0.406559324,0.398171589,0.406468598,0.405178106,0.407891406,0.427936361,0.419301315,0.111622866,0.100785695,0.095908968,0.096450826,0.094283392,0.098618261,0.098076402,0.097534543,0.103494988,0.103224059
1.9,0.029458571,0.02541769,0.033499452,0.380749092,0.416948771,0.401390197,0.369956546,0.41090803,0.38190045,0.4023778,0.420597912,0.411294736,0.436604308,0.410022761,0.110810079,0.102411271,0.094825251,0.096992685,0.094283392,0.097534543,0.09888919,0.097805473,0.103494988,0.102953129
2,0.051029698,0.039762916,0.06229648,0.372187497,0.41372775,0.414976425,0.38514149,0.396169758,0.364338853,0.397202729,0.40787574,0.373478199,0.417701727,0.403324612,0.109997291,0.104307776,0.09509618,0.094554321,0.094283392,0.09888919,0.097534543,0.098076402,0.104307776,0.102953129
2.1,0.039932035,0.028562019,0.051302051,0.367968245,0.401209888,0.40442979,0.381607994,0.39515134,0.397108906,0.394558359,0.401912384,0.393898954,0.41661755,0.401224919,0.109997291,0.104849634,0.094554321,0.094283392,0.094554321,0.096450826,0.098618261,0.098347331,0.104578705,0.103765917
2.2,0.030440873,0.02998736,0.030894386,0.359192412,0.3972673,0.400776661,0.377128657,0.388612075,0.389075435,0.362192924,0.389876399,0.394521144,0.39516332,0.39248917,0.108913574,0.105391493,0.096179897,0.094012463,0.094554321,0.095908968,0.096721756,0.099160119,0.107017069,0.102140341
2.3,0.036859822,0.039655935,0.034063709,0.351062034,0.404323606,0.38849119,0.381611928,0.386465582,0.378138629,0.386964618,0.37384811,0.366578582,0.408042449,0.409184514,0.108642644,0.105120564,0.096450826,0.094012463,0.094554321,0.095908968,0.096179897,0.09888919,0.107558927,0.1026822
2.4,0.026750276,0.027028729,0.026471823,0.347653006,0.397466585,0.400273334,0.364252306,0.384137903,0.372484179,0.38959852,0.365144936,0.364498413,0.425594124,0.411337566,0.108371715,0.10647521,0.094554321,0.094283392,0.094012463,0.096721756,0.096179897,0.099701978,0.107287998,0.102411271
2.5,0.03381161,0.028169588,0.039453632,0.340967022,0.392190918,0.390703402,0.362825203,0.368973078,0.371180942,0.38237822,0.357947055,0.380129105,0.413591137,0.4037315,0.109455432,0.10647521,0.094554321,0.095367109,0.092386887,0.095638038,0.096179897,0.099701978,0.108913574,0.101327554
