tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.057837125,0.058102129,0.057552695,0.431453258,0.43196766,0.465676017,0.46573213,0.464790906,0.465382193,0.464134041,0.461326435,0.46593174,0.467754637,0.460944862,0.086426443,0.09888919,0.1026822,0.104849634,0.104578705,0.105662422,0.107017069,0.106746139,0.099972907,0.082904362
0.2,0.05769136,0.05802685,0.057355869,0.453101278,0.453922383,0.471172099,0.478773414,0.47699313,0.469104799,0.477559636,0.458424837,0.4691658,0.47598459,0.463495666,0.086426443,0.09888919,0.1026822,0.104849634,0.104578705,0.105933351,0.107287998,0.10647521,0.100243836,0.082633433
0.3,0.057471813,0.057811115,0.057132511,0.4674432,0.466060649,0.468691936,0.480742519,0.479208837,0.48084416,0.481244434,0.470300408,0.482015981,0.485334391,0.474171591,0.086426443,0.09888919,0.1026822,0.104849634,0.104578705,0.106204281,0.107017069,0.10647521,0.100243836,0.082633433
0.4,0.056493566,0.056982817,0.056004316,0.454379943,0.467573508,0.472599445,0.470973674,0.471483202,0.469704303,0.480143954,0.470335083,0.471755413,0.477657512,0.472046256,0.086426443,0.09888919,0.1026822,0.104849634,0.104578705,0.106204281,0.107017069,0.106746139,0.099972907,0.082633433
0.5,0.055025607,0.055805238,0.054245975,0.457582741,0.461305886,0.463249314,0.475819912,0.475848952,0.47239071,0.485072554,0.466748443,0.479016142,0.471812778,0.456963741,0.086426443,0.09888919,0.1026822,0.104578705,0.104849634,0.105933351,0.107287998,0.106204281,0.099972907,0.083175291
0.6,0.053685069,0.053702539,0.0536676,0.45962119,0.445469628,0.450836344,0.466374369,0.47047241,0.467173438,0.473613107,0.467381637,0.473545226,0.479395836,0.44644773,0.086697372,0.098618261,0.1026822,0.105391493,0.104036846,0.10647521,0.106204281,0.10647521,0.099701978,0.08371715
0.7,0.056456235,0.05087131,0.062015153,0.468899504,0.442634323,0.457672296,0.461682835,0.458367064,0.475135339,0.465534148,0.481046091,0.463008473,0.476869722,0.472920923,0.088864806,0.098618261,0.101327554,0.104578705,0.102953129,0.108100786,0.105933351,0.104578705,0.097534543,0.08751016
0.8,0.070382445,0.051300157,0.089464734,0.456588139,0.445586499,0.467821702,0.46786876,0.461532745,0.468792897,0.470777868,0.457482896,0.47298205,0.480062459,0.446756475,0.092657816,0.096450826,0.100514766,0.104578705,0.102953129,0.107287998,0.106204281,0.102140341,0.096992685,0.090219453
0.9,0.09001719,0.053511548,0.126522832,0.43824668,0.440745661,0.460759445,0.44309835,0.4501775,0.45055101,0.462510256,0.452998715,0.453304477,0.459006069,0.427774518,0.09509618,0.097534543,0.098347331,0.105391493,0.102411271,0.105933351,0.104849634,0.101598483,0.095638038,0.093199675
1,0.079510056,0.042826827,0.116193285,0.42787812,0.439465239,0.430870592,0.438504985,0.441424615,0.438791269,0.439937919,0.440575625,0.430099318,0.425168612,0.425993512,0.098347331,0.098076402,0.096992685,0.102411271,0.104036846,0.102953129,0.1026822,0.100785695,0.095908968,0.097805473
