esfera,chapa,altura,restituicao
30,30,20,0.5706
30,30,20,0.6397
30,30,20,0.5735
30,30,20,0.5429
30,30,20,0.6288
30,35,5,0.6417
30,35,5,0.6945
30,35,5,0.6901
30,35,5,0.6686
30,35,5,0.647
30,35,10,0.5948
30,35,10,0.6647
30,35,10,0.688
30,35,10,0.6961
30,35,10,0.6768
30,35,15,0.5934
30,35,15,0.6594
30,35,15,0.603
30,35,15,0.6804
30,35,15,0.5748
30,35,20,0.5552
30,35,20,0.5745
30,35,20,0.557
30,35,20,0.5296
30,35,20,0.562
30,40,5,0.6826
30,40,5,0.603
30,40,5,0.662
30,40,5,0.6181
30,40,5,0.6412
30,40,10,0.6982
30,40,10,0.6092
30,40,10,0.6124
30,40,10,0.6175
30,40,10,0.6143
30,40,15,0.6469
30,40,15,0.6177
30,40,15,0.6034
30,40,15,0.6047
30,40,15,0.6057
30,40,20,0.6001
30,40,20,0.5875
30,40,20,0.6744
30,40,20,0.5885
30,40,20,0.6299
35,20,5,0.5182
35,20,5,0.5
35,20,5,0.5158
35,20,5,0.4932
35,20,5,0.5199
35,20,10,0.4513
35,20,10,0.3592
35,20,10,0.3527
35,20,10,0.3469
35,20,10,0.254
35,20,15,0.3802
35,20,15,0.4107
35,20,15,0.4618
35,20,15,0.4526
35,20,15,0.4559
35,20,20,0.3833
35,20,20,0.4633
35,20,20,0.4585
35,20,20,0.4774
35,20,20,0.5348
35,25,5,0.5388
35,25,5,0.5536
35,25,5,0.575
35,25,5,0.5957
35,25,5,0.5462
35,25,10,0.5248
35,25,10,0.4817
35,25,10,0.5226
35,25,10,0.5126
35,25,10,0.4989
35,25,15,0.3763
35,25,15,0.3914
35,25,15,0.4433
35,25,15,0.4898
35,25,15,0.4301
35,25,20,0.4221
35,25,20,0.4491
35,25,20,0.479
35,25,20,0.5311
35,25,20,0.5063
35,30,5,0.5927
35,30,5,0.5345
35,30,5,0.5345
35,30,5,0.5452
35,30,5,0.5615
35,30,10,0.5536
35,30,10,0.5655
35,30,10,0.5785
35,30,10,0.551
35,30,10,0.5866
35,30,15,0.6171
35,30,15,0.6492
35,30,15,0.618
35,30,15,0.5263
35,30,15,0.6669
35,30,20,0.4856
35,30,20,0.4793
35,30,20,0.4113
35,30,20,0.4755
35,30,20,0.5886
35,35,5,0.5604
35,35,5,0.6124
35,35,5,0.6191
35,35,5,0.6708
35,35,5,0.6428
35,35,10,0.6088
35,35,10,0.6297
35,35,10,0.5571
35,35,10,0.5885
35,35,10,0.5583
35,35,15,0.5739
35,35,15,0.5907
35,35,15,0.5866
35,35,15,0.5109
35,35,15,0.5496
35,35,20,0.5177
35,35,20,0.5357
35,35,20,0.5134
35,35,20,0.5134
35,35,20,0.5266
