rhos,ds,Es,vs,rhop,l,Ep,vp,ep
"1640,6","6,14","2,30E+09","0,35",7500,3,"1,80E+11","0,3","0,798609903380729"
"1640,6","6,14","2,30E+09","0,35",7500,3,"1,80E+11","0,3","0,80643293318405"
"1640,6","6,14","2,30E+09","0,35",7500,4,"1,80E+11","0,3","0,804721748501315"
"1640,6","6,14","2,30E+09","0,35",7500,4,"1,80E+11","0,3","0,818736630626522"
"1640,6","6,14","2,30E+09","0,35",7500,4,"1,80E+11","0,3","0,814700106625907"
"1640,6","6,14","2,30E+09","0,35",7500,4,"1,80E+11","0,3","0,821850714236611"
"1640,6","6,14","2,30E+09","0,35",7500,4,"1,80E+11","0,3","0,828573603450859"
"1640,6","6,14","2,30E+09","0,35",7500,6,"1,80E+11","0,3","0,807207352795575"
"1640,6","6,14","2,30E+09","0,35",7500,6,"1,80E+11","0,3","0,780064816901924"
"1640,6","6,14","2,30E+09","0,35",7500,6,"1,80E+11","0,3","0,810524936473727"
"1640,6","6,14","2,30E+09","0,35",7500,6,"1,80E+11","0,3","0,808713705301732"
"1640,6","6,14","2,30E+09","0,35",7500,6,"1,80E+11","0,3","0,804155872120988"
"1640,6","6,14","2,30E+09","0,35",7500,10,"1,80E+11","0,3","0,750757193529548"
"1640,6","6,14","2,30E+09","0,35",7500,10,"1,80E+11","0,3","0,739827081725523"
"1640,6","6,14","2,30E+09","0,35",7500,10,"1,80E+11","0,3","0,744494806779078"
"1640,6","6,14","2,30E+09","0,35",7500,10,"1,80E+11","0,3","0,747229819229663"
"1640,6","6,14","2,30E+09","0,35",7500,10,"1,80E+11","0,3","0,754193171176683"
"1640,6","6,14","2,30E+09","0,35",7500,"12,7","1,80E+11","0,3","0,820767734294955"
"1640,6","6,14","2,30E+09","0,35",7500,"12,7","1,80E+11","0,3","0,833996613475172"
"1640,6","6,14","2,30E+09","0,35",7500,"12,7","1,80E+11","0,3","0,818877736700389"
"1640,6","6,14","2,30E+09","0,35",7500,"12,7","1,80E+11","0,3","0,830212223740772"
"1640,6","6,14","2,30E+09","0,35",7500,"12,7","1,80E+11","0,3","0,823100358119205"
"7576,2","6,04","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,080757285308725"
"7576,2","6,04","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,065795169495977"
"7576,2","6,04","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,080757285308725"
"7576,2","6,04","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,080757285308725"
"7576,2","6,04","1,80E+11","0,3",7500,1,"1,80E+11","0,3","0,065938047339579"
"7576,2","6,04","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,104257207028537"
"7576,2","6,04","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,093250480824031"
"7576,2","6,04","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,114084110996136"
"7576,2","6,04","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,080933419182754"
"7576,2","6,04","1,80E+11","0,3",7500,"1,2","1,80E+11","0,3","0,104370715180858"
"7576,2","6,04","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,347295313944371"
"7576,2","6,04","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,341296815812156"
"7576,2","6,04","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,344501551057929"
"7576,2","6,04","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,344501551057929"
"7576,2","6,04","1,80E+11","0,3",7500,2,"1,80E+11","0,3","0,350823207722812"
"7576,2","6,04","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,528221409205323"
"7576,2","6,04","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,517549169506766"
"7576,2","6,04","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,516397779494322"
"7576,2","6,04","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,527632861491409"
"7576,2","6,04","1,80E+11","0,3",7500,3,"1,80E+11","0,3","0,527632861491409"
"7576,2","6,04","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,613057033378214"
"7576,2","6,04","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,637047562127473"
"7576,2","6,04","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,646073304111627"
"7576,2","6,04","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,59386746958271"
"7576,2","6,04","1,80E+11","0,3",7500,4,"1,80E+11","0,3","0,628561282385644"
"7576,2","6,04","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,604364231835078"
"7576,2","6,04","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,626399777789193"
"7576,2","6,04","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,683021124960903"
"7576,2","6,04","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,679620046843638"
"7576,2","6,04","1,80E+11","0,3",7500,6,"1,80E+11","0,3","0,646357314322177"
"7576,2","6,04","1,80E+11","0,3",7500,10,"1,80E+11","0,3","0,349859754151657"
"7576,2","6,04","1,80E+11","0,3",7500,10,"1,80E+11","0,3","0,362821888622698"
"7576,2","6,04","1,80E+11","0,3",7500,10,"1,80E+11","0,3","0,356399754797053"
"7576,2","6,04","1,80E+11","0,3",7500,10,"1,80E+11","0,3","0,354374653931171"
"7576,2","6,04","1,80E+11","0,3",7500,10,"1,80E+11","0,3","0,375336646428809"
"7576,2","6,04","1,80E+11","0,3",7500,"12,7","1,80E+11","0,3","0,648218939423425"
"7576,2","6,04","1,80E+11","0,3",7500,"12,7","1,80E+11","0,3","0,635771663002241"
"7576,2","6,04","1,80E+11","0,3",7500,"12,7","1,80E+11","0,3","0,676715542331965"
"7576,2","6,04","1,80E+11","0,3",7500,"12,7","1,80E+11","0,3","0,740276548109893"
"7576,2","6,04","1,80E+11","0,3",7500,"12,7","1,80E+11","0,3","0,696259662456761"
"2371,3","6,51","9,00E+10","0,22",7500,1,"1,80E+11","0,3","0,301177629650294"
"2371,3","6,51","9,00E+10","0,22",7500,1,"1,80E+11","0,3","0,317611701583012"
"2371,3","6,51","9,00E+10","0,22",7500,1,"1,80E+11","0,3","0,314140431218772"
"2371,3","6,51","9,00E+10","0,22",7500,1,"1,80E+11","0,3","0,312347523777212"
