diametro,densidade,E,v,rugosidade,mr
6.51,2371.27,9.00E+10,0.22,0.00043,0.1498267936
6.51,2371.27,9.00E+10,0.22,0.00027,0.1051994452
6.51,2371.27,9.00E+10,0.22,0.00027,0.0996857452
6.51,2371.27,9.00E+10,0.22,0.00027,0.1080012395
6.51,2371.27,9.00E+10,0.22,0.0002,0.0876517193
6.51,2371.27,9.00E+10,0.22,0.0002,0.0678014232
6.51,2371.27,9.00E+10,0.22,0.0002,0.0904862277
6.51,2371.27,9.00E+10,0.22,0.00016,0.1147560344
6.51,2371.27,9.00E+10,0.22,0.00016,0.0982198264
6.51,2371.27,9.00E+10,0.22,0.00016,0.1014211339
6.51,2371.27,9.00E+10,0.22,0.00013,0.0635011215
6.51,2371.27,9.00E+10,0.22,0.00013,0.0854832485
6.51,2371.27,9.00E+10,0.22,0.00013,0.0769318696
6.51,2371.27,9.00E+10,0.22,0.0001,0.077219168
6.51,2371.27,9.00E+10,0.22,0.0001,0.0638675471
6.51,2371.27,9.00E+10,0.22,0.0001,0.0652041746
6.51,2371.27,9.00E+10,0.22,0.00008,0.0650439547
6.51,2371.27,9.00E+10,0.22,0.00008,0.0570028544
6.51,2371.27,9.00E+10,0.22,0.00008,0.0740381901
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.0080906149
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.0080906149
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.0084459459
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.0078616352
6.51,2371.27,9.00E+10,0.22,1.63E-07,0.0085034014
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.0095785441
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.0086655113
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.0086805556
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.0095785441
6.51,2371.27,9.00E+10,0.22,1.69E-06,0.009057971
