tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.057959786,0.058794883,0.057886726,0.255493719,0.453420618,0.463089044,0.464895931,0.474846148,0.470876688,0.469323588,0.464365179,0.452321417,0.445996333,0.454621916,0.079825295,0.099154354,0.105287613,0.109190596,0.108540099,0.106216894,0.107424961,0.104822972,0.099804851,0.079732367
0.2,0.057958756,0.058395041,0.057924413,0.331602858,0.471040516,0.468956025,0.470779886,0.466839517,0.465457877,0.470679024,0.465776906,0.465236266,0.464379014,0.473219707,0.079825295,0.099154354,0.105287613,0.109190596,0.108540099,0.106216894,0.107424961,0.104822972,0.099804851,0.079732367
0.3,0.057591563,0.058170639,0.057545979,0.264196011,0.479910851,0.478391917,0.480077383,0.479010424,0.477175659,0.481441015,0.476528224,0.475740854,0.474803104,0.482880048,0.079825295,0.099154354,0.105287613,0.109190596,0.108540099,0.106216894,0.107424961,0.104822972,0.099804851,0.079732367
0.4,0.056387503,0.057696987,0.056283906,0.129483198,0.461469522,0.472456393,0.474872252,0.474007222,0.473621007,0.474515848,0.473341211,0.470981861,0.471073974,0.451625583,0.079918223,0.099061426,0.105287613,0.109190596,0.108540099,0.106216894,0.107424961,0.104730044,0.099804851,0.079825295
0.5,0.053842659,0.05598392,0.053674104,0.212335845,0.464463056,0.470281287,0.470267969,0.471173219,0.470487101,0.469574862,0.46936787,0.470954475,0.457213847,0.456218074,0.08010408,0.098875569,0.105287613,0.109190596,0.10844717,0.106216894,0.107517889,0.1049159,0.099433138,0.080011151
0.6,0.063691312,0.053297897,0.064509455,0.12186307,0.44998297,0.468366397,0.470428219,0.467862101,0.468607827,0.474358116,0.46981872,0.467420464,0.468015643,0.450863574,0.080382864,0.098968497,0.105008828,0.108911811,0.108725955,0.106123966,0.10696032,0.105101756,0.099433138,0.080382864
0.7,0.090703724,0.053388228,0.093641107,0.260206893,0.416749807,0.454752644,0.464887108,0.463572169,0.463342185,0.446246771,0.458055849,0.468369449,0.454746976,0.415994462,0.081869715,0.098782641,0.103521978,0.109655237,0.108261314,0.105659325,0.106402751,0.104637116,0.098875569,0.082334356
0.8,0.125071872,0.057589978,0.130383879,0.272095657,0.418189548,0.438776666,0.442060782,0.444320183,0.44201583,0.437132304,0.434892529,0.438547666,0.433514722,0.420570096,0.084936344,0.09729579,0.10287148,0.108725955,0.108075458,0.105473469,0.105101756,0.103614906,0.097574575,0.086330267
0.9,0.125060095,0.05285704,0.130743741,0.301898018,0.402599226,0.418896338,0.425332,0.423125417,0.424474947,0.431684037,0.422184837,0.417608418,0.419295551,0.406816617,0.087724189,0.096273581,0.101570486,0.108911811,0.107332032,0.104730044,0.104172475,0.103521978,0.097946288,0.087817117
1,0.104647444,0.058049067,0.108315553,0.319105297,0.408661809,0.419548461,0.423836343,0.4216425,0.426113624,0.431386102,0.423880785,0.419285126,0.418027258,0.406965633,0.087631261,0.097109934,0.101570486,0.107889601,0.107610817,0.104637116,0.10389369,0.102964409,0.098225072,0.088467615
1.1,0.088735816,0.058561242,0.091111084,0.282399456,0.423610319,0.437373882,0.438798427,0.436154929,0.438355489,0.441588061,0.436896832,0.432145964,0.429848182,0.425105993,0.087538333,0.097202862,0.101756342,0.107424961,0.10798253,0.104358331,0.104265403,0.10287148,0.098132144,0.088467615
