tempo,v_medio,v_tipo1,v_tipo2,segregacao_global,segregacao_1,segregacao_2,segregacao_3,segregacao_4,segregacao_5,segregacao_6,segregacao_7,segregacao_8,segregacao_9,segregacao_10,axial_1,axial_2,axial_3,axial_4,axial_5,axial_6,axial_7,axial_8,axial_9,axial_10
0.1,0.058986743,0.059098116,0.057535711,0.389183925,0.445158508,0.467843251,0.466316441,0.462772479,0.45952464,0.467410472,0.467977185,0.465251269,0.467358421,0.462627307,0.08347232,0.10203798,0.106858614,0.104707982,0.102652446,0.102703652,0.104773818,0.107487711,0.102001404,0.083296758
0.2,0.058493557,0.058556912,0.057688727,0.433601549,0.450063619,0.47849575,0.478241916,0.47454423,0.472328012,0.47444245,0.474736647,0.476712023,0.479658303,0.445166104,0.08347232,0.102045295,0.106880559,0.104693352,0.102674391,0.102667076,0.104766503,0.107487711,0.101972144,0.083340648
0.3,0.058187598,0.05825292,0.057357772,0.469695577,0.464468086,0.479629511,0.484517837,0.472673028,0.460522529,0.471876808,0.474855994,0.481541713,0.486193895,0.460719665,0.08350158,0.102030665,0.106858614,0.104686037,0.102674391,0.102674391,0.104766503,0.107473081,0.101972144,0.083362594
0.4,0.057567316,0.057681644,0.056114937,0.437902231,0.453773026,0.468574547,0.47399277,0.461545106,0.462206453,0.456361361,0.460740827,0.475523026,0.482272816,0.454941175,0.083545471,0.102001404,0.106843984,0.104693352,0.102667076,0.102667076,0.104773818,0.10745845,0.101950199,0.083399169
0.5,0.055154964,0.055269259,0.053702999,0.426545377,0.435997421,0.477133167,0.482504675,0.473118286,0.472111613,0.470281828,0.472285565,0.463521408,0.475774116,0.447924332,0.083750293,0.101928254,0.106756203,0.104612886,0.102725597,0.102659761,0.104686037,0.107407245,0.101964829,0.083508895
0.6,0.054831001,0.054083675,0.064324777,0.428475239,0.458694552,0.473830691,0.482817713,0.473439947,0.471856205,0.459489315,0.471388331,0.477525701,0.473674451,0.447266677,0.084949965,0.101211376,0.10641971,0.104620201,0.102630501,0.102637816,0.10444464,0.107019546,0.101299157,0.084767088
0.7,0.06767767,0.065181529,0.099387772,0.458221126,0.474258159,0.482787985,0.483042864,0.480703367,0.477247493,0.473903229,0.476053685,0.481476986,0.483470429,0.457634825,0.087963776,0.099682526,0.105410229,0.104064256,0.102915789,0.102593926,0.103910639,0.105534586,0.099960499,0.087963776
0.8,0.074601587,0.069498725,0.139426573,0.45386355,0.444955624,0.47038095,0.470818213,0.45335138,0.457282487,0.454834436,0.454960885,0.448684463,0.475828713,0.430498505,0.091116573,0.098753511,0.104261763,0.103500995,0.102476884,0.102264747,0.103383954,0.103764338,0.098855922,0.091621313
0.9,0.065937188,0.060814072,0.131019475,0.431501328,0.435304583,0.456358143,0.458621409,0.452854736,0.457559192,0.446383492,0.462145594,0.459658846,0.454347093,0.431742428,0.093164794,0.098826662,0.103084036,0.102915789,0.102191596,0.101869733,0.102550035,0.102915789,0.098475538,0.094006028
1,0.060456683,0.058141126,0.089872712,0.439435193,0.439144413,0.460302284,0.453448461,0.447728237,0.445827506,0.444265362,0.446137177,0.451837727,0.462540693,0.435596644,0.093962137,0.098855922,0.102798748,0.102645131,0.101877048,0.1015625,0.102220857,0.10254272,0.098658415,0.094876522
